category	answer	question	air_date
TELEVISION	In fall of 1985, 5 of 8 prime time network series on Mondays had this word in their title	and	1986-02-26
WORLD TRADE	In value of both its imports & exports with the U.S., this country is our foremost trading partner	Canada	1986-02-27
FAMOUS AMERICANS	"10 years before publishing book subtitled ""Life in the Woods"", he caused a 300-acre forest fire"	Henry David Thoreau	1986-02-28
POP MUSIC	"Since 1955, this song, originally known as ""Moritat"", has made Billboard Top 40 more times than any other"	"\""Mack the Knife\"""	1986-03-03
DEMOCRATS	No. of times the Democratic Party has lost the presidential election since WWII	6	1986-03-04
ART	"The 2 geometric shapes containing da Vinci's famous ""Vitruvian Man\"""	circle & square	1986-03-05
AMERICAN STATISTICS	Highest birth rate in the U.S. is in this state, where almost 70% of the population has same religion	Utah	1986-03-06
WORLD LEADERS	This elected official also served, until 1870, as king of most of central Italy	the Pope	1986-03-07
LANGUAGES	Of the Teutonic family of languages, the one most widely spoken	English	1986-03-10
MOVIES	1951 Best Acting Oscars went to H. Bogart & V. Leigh in films named for these modes of transportation	streetcars & steamships	1986-03-11
STATE CAPITALS	"2 of 4 state capitals with the word ""city"" in their name"	(2 of) Oklahoma City, Carson City, Salt Lake City or Jefferson City	1986-03-12
SPORTING EVENTS	Established in 1911, this yearly event has largest single day attendance in sports	the Indy 500	1986-03-13
THE '70s	Due to '73 energy crisis, Congress stopped the environmental impact review & ordered its construction	the Alaska Pipeline	1986-03-14
MAN IN SPACE	This Space Shuttle, the only 1 named for a spaceship, is the only 1 not to have flown in space	the Enterprise	1986-03-17
FAMOUS AMERICANS	1 year after winning an Oscar, she was honored on a postage stamp, but not for her acting	Grace Kelly	1986-03-18
ELECTIONS	Of the 4 Republican presidential candidates to lose to FDR, he won the most electoral votes	Thomas Dewey	1986-03-19
THE OLD WEST	"Though John C. Fremont was called ""The Pathfinder"", it was he who served as Fremont's guide"	Kit Carson	1986-03-20
WORD ORIGINS	From a medieval occupation, this common English surname is Ferrer in Spanish & Kovacs in Hungarian	Smith	1986-03-21
WORLD TRADE	Country second only to the U.S. in value of both its exports & imports	West Germany	1986-03-24
CARTOONS	"His theme was the only song from a cartoon short ever nominated for ""Best Song"" Oscar"	Woody Woodpecker	1986-03-25
THE OLYMPICS	The games held in this city were the only ever staged in the Southern Hemisphere	Melbourne	1986-03-26
DEMOCRATS	In 1920, the Harding-Coolidge ticket defeated James Cox & this future president	Franklin D. Roosevelt	1986-03-27
POP MUSIC	Co-writer of '76s Best Song Oscar winner, she said it was 2nd song she'd ever written	Barbra Streisand	1986-03-28
THE PLANETS	Its only known moon is appropriately named after the boatman Charon	Pluto	1986-03-31
NAMES	"The most popular papal name after ""John"", it's associated with music & chronology"	Gregory	1986-04-01
WORLD LEADERS	During Reagan admin., USSR has had this many different heads of Communist Party, & therefore, the nation	4	1986-04-02
U.S. STATES	Only 2 states with capitals west of the Mississippi River which were part of the Confederacy	Texas & Arkansas	1986-04-03
TELEVISION	In each TV season from 1958 to 1961, the 3 top-rated shows were of this genre	Westerns	1986-04-04
ENGINEERING	Country which tried to build a canal across Panama before we did it	France	1986-04-07
THE OSCARS	1 of the only 2 films whose entire casts were nominated for Oscars, they were both based on plays	(1 of) Sleuth or Give 'em Hell, Harry!	1986-04-08
HISTORIC NAMES	2 of the 3 men—a Frenchman, an Englishman, & a Swede—to receive honorary citizenship in the U.S.	(2 of) Lafayette, Churchill or Raoul Wallenberg	1986-04-09
THE CONTINENTS	Of the 7, this continent has the world's longest total coastline, over 96,000 miles	North America	1986-04-10
AMERICAN LITERATURE	"Title of O. Henry's collection of short stories, ""The Four Million"" refers specifically to this"	the population of New York (the citizens of NYC)	1986-04-11
MEDICINE	Accounting for 3.9 million visits last year, it's the leading reason for a hospital stay	childbirth (giving birth)	1986-04-14
THE MILITARY	With MacArthur & Eisenhower, 1 of 3 WWII generals who were only men to ever hold 5-star rank	(Omar) Bradley, (George) Marshall or (Henry) Arnold	1986-04-15
THE NOBEL PRIZE	1st given in 1969, it's the only Nobel Prize category added since awards began in 1901	Economics	1986-04-16
ART	Term for the work a craftsman presented to the guild to qualify for a raise to the top rank	masterpiece	1986-04-17
EXPLORERS	President who sent Lewis & Clark to explore the way to the Pacific Ocean	Jefferson	1986-04-18
POLITICIANS	Total number of former vice presidents still living today	4 (Nixon, Agnew, Ford, Mondale)	1986-04-21
GAMBLING	Next to slots, Nevada casinos make more money from this game than any other, nearly $3/4 billion in 1985	blackjack	1986-04-22
THE OSCARS	This Best Picture had the shortest title, using only 2 different letters	Gigi	1986-04-23
THE AMERICAS	Central Amer. country whose 1904 constitution contained a provision authorizing U.S. intervention	Panama	1986-04-24
MAN IN SPACE	With the new Vandenberg spaceport, total number of manned-flight launch sites in the world	3	1986-04-25
THE CIVIL WAR	"Source from which Lincoln quoted, ""a house divided against itself cannot stand\"""	the Bible (the Gospel according to Mark)	1986-04-28
WORLD GEOGRAPHY	Capital of this English-speaking country is southernmost national capital in the world	New Zealand	1986-04-29
ACTORS & ROLES	Star, who's played Queen Elizabeth twice, as well as empresses of Mexico and Russia	Bette Davis	1986-04-30
HOLIDAYS	Ranked #2 after Christmas, about 850 million greeting cards are sold yearly for this holiday	Valentine's Day	1986-05-01
WORLD EVENTS	"Muzak has b'cast words twice, for simulcast of ""We Are The World"" & announcement of this 1/20/81 event"	the release of the Iran hostages	1986-05-02
FLAGS	The 3 objects on the Soviet Union's red national flag	hammer, sickle & star	1986-05-05
IN THE NEWS	"Although Mt. St. Helens provided the big bang that year, everyone asked, ""Who shot J.R.?\"""	1980	1986-05-06
KINGS AND QUEENS	More English kings have reigned under these 2 names than any others	Edward & Henry	1986-05-07
CARTOONS	After debuting in opening credits of a 1963 film, this character got his own theatrical cartoon series	the Pink Panther	1986-05-08
DIPLOMACY	"Speaking of this, Sec'y of State Dean Rusk said, ""We're eyeball to eyeball, & the other fellow just blinked\"""	the Cuban Missile Crisis	1986-05-09
THE SUPREME COURT	Warren Harding's 1st appointment to the court set a precedent by making him Chief Justice	William Howard Taft	1986-05-12
THE OLD WEST	He made the longest single ride—322 miles—in the brief history of the Pony Express	"William ""Buffalo Bill"" Cody"	1986-05-13
STATE CAPITALS	The 1st letter in the alphabet that does not begin the name of a state capital	E	1986-05-14
EUROPE	Only European country named for its establishing family, which still rules today	Liechtenstein	1986-05-15
THE CALENDAR	Day of the week Valentine's Day will be if New Year's Day falls on a Monday	Wednesday	1986-05-16
THE CENSUS	When 1st U.S. census was taken in 1790, this state, 1st settled in 1607, had largest population	Virginia	1986-05-19
THE FLAG	Feature & its color common to flags of U.S., Venezuela & Pakistan	white stars	1986-05-20
MATHEMATICS	Besides 0, the only number that yields the same result when added to itself or multiplied by itself	2	1986-05-21
THE OLYMPICS	Sex tests for women, protests by Blacks, & the altitude were controversies of the Olympics in this year	1968	1986-05-22
WARS	"War in which the ship ""Constitution"" received the name ""Old Ironsides\"""	the War of 1812	1986-05-23
TRADITIONS	It was with widespread use of this that the practice of celebrating birthdays came into being	calendars	1986-05-26
SEPTEMBER	The only 2 presidents to die in September; both were assassinated	Garfield & McKinley	1986-05-27
The '40s	This world leader did not complete the Potsdam Conference, but was replaced by his successor	Winston Churchill	1986-05-28
THE NOBEL PRIZE	It's the only organization to have been awarded 3 Nobel Peace Prizes	the Red Cross	1986-05-29
GENERALS	Highest rank, General of the Armies of U.S., was given only to Pershing in 1919 & this deceased president in 1976	George Washington	1986-05-30
THE '70s	In '73, it happened to B. Devlin, J. Fonda & T. Hayden, & Fr. P. Berrigan admitted it had happened to him	getting married	1986-06-06
BUSINESS & INDUSTRY	World's #1 maker of infant formula, this company does 98.2% of its business outside its home country	Nestle	1986-09-08
U.S. STATES	Despite govt. predictions to the contrary, in 1985 this became the least populated U.S. state	Wyoming	1986-09-09
ACTORS & ROLES	In a 3-year period, 2 actors won Oscars for playing this character in different films	The Godfather	1986-09-11
THE CALENDAR	Barring the unforeseen, the last presidential election of the 20th century will be held in this year	2000	1986-09-12
FRUITS & VEGETABLES	According to Guinness Book of Records, the heaviest fruit or vegetable ever grown is 1 of these	pumpkin	1986-09-15
MONARCHS	This early 13th cent. king was so despised that no other British monarch has borne his name	John	1986-09-16
THE BIBLE	According to Genesis 7:16, it's who shut the door on Noah's Ark	the Lord	1986-09-17
U.S. PRESIDENTS	The number of U.S. presidents in the 20th century to serve out at least 2 full terms	3	1986-09-18
FIRST LADIES	Of all the First Ladies past & present still living, she is the youngest	Jacqueline Kennedy Onassis	1986-09-19
POP MUSIC	"\""Singers"" named in 1958 after Liberty Records engineer Ted Keep & execs Al Bennett & Simon Waronker"	the Chipmunks	1986-09-22
THE FLAG	"\""Star-Spangled Banner"" that flew over Ft. McHenry in War of 1812 had this same # of both stars & stripes"	15	1986-09-23
STATE CAPITALS	The 2 New England state capitals that are also their states' most populous cities	Boston, MA & Providence, RI	1986-09-24
THE CONSTITUTION	The next amendment to the Constitution will have this number	27	1986-09-25
GAMES	"The 4 corners on a Monopoly board are ""Go"", ""Free Parking"" & these 2"	Jail & Go To Jail	1986-09-26
INVENTIONS	"The ""gin"" in Eli Whitney's cotton gin is a variant of this common English word"	engine	1986-09-29
TELEVISION	This mini-series & its sequel featured Ed Asner, Lorne Greene, Henry Fonda & Marlon Brando	Roots	1986-09-30
HISTORIC YEARS	A famous channel crossing ended on September 28th of this year, as familiar to the British as 1492 is to us	1066	1986-10-01
THE UNITED NATIONS	City in which the United Nations Charter was signed in 1945	San Francisco	1986-10-02
U.S. GOVERNMENT	In 1971, this agency left the Cabinet & became a non-profit corporation	the U.S. Postal Service	1986-10-03
THE 1970s	Group, much in the news in the months following Feb. 4, 1974, their symbol was a seven-headed snake	S.L.A. (Symbionese Liberation Army)	1986-10-06
FAMOUS NAMES	Hero of World War II, last viceroy of India, & victim of the IRA	Lord Mountbatten	1986-10-07
REPUBLICANS	Born in 1874 during Grant's administration, this President died in 1964 during Johnson's	Herbert Hoover	1986-10-08
MEDICINE	Often quoted, it's the weekly publication of the Massachusetts Medical Society	The New England Journal of Medicine	1986-10-09
THE CIVIL WAR	The southernmost point in the Union was in this state west of the Mississippi	California	1986-10-10
THE POST OFFICE	Only state whose official 2-letter abbreviation consists of 2 vowels	Iowa	1986-10-13
BUSINESS & INDUSTRY	In 1985, this Michigan-based company was the nation's largest single exporter	General Motors	1986-10-14
THE CALENDAR	Most recent year which reads numerically the same backward & forward	1881	1986-10-15
ACTORS AND ROLES	2 stars who have portrayed author/reporter Carl Bernstein or a character directly based on him in film	Jack Nicholson & Dustin Hoffman	1986-10-16
ROYALTY	Of the wives of Henry VIII, the only one who didn't share her 1st name with any of the others	Jane Seymour	1986-10-17
LITERATURE	"Title of this 1940 novel is taken from the words of John Donne, which begin ""No man is an island\"""	For Whom the Bell Tolls	1986-10-20
MOUNTAINS	Highest mountain outside Asia is on this continent	South America	1986-10-21
WORLD HISTORY	Its 25th anniversary, Aug. 13, 1986, was celebrated with parades to the east & mourning to the west	the Berlin Wall	1986-10-22
MAN IN SPACE	President who signed the bill which created NASA	Dwight Eisenhower	1986-10-23
U.S. CITIES	Largest city in population east of the Rockies & west of the Mississippi River	Houston	1986-10-24
THE OSCARS	Only family in which 3 generations have won Oscars	the Hustons	1986-10-27
NEWSPAPERS	"With the weekday circulation close to that of ""The N.Y. Times"" & the ""L.A. Times"" combined, this is the largest-selling U.S. daily"	The Wall Street Journal	1986-10-28
ELECTIONS	Third-party candidate who got nearly 7% of the popular vote in the 1980 presidential election	John Anderson	1986-10-29
GENERALS	1 of the only 2 generals in American history to serve as Secretary of State	(1 of) (Alexander) Haig or George Marshall	1986-10-30
AFRICA	Last 2 countries in world alphabetically; Victoria Falls lies on their mutual border	Zambia & Zimbabwe	1986-10-31
VICE PRESIDENTS	Last vice president who was not elected, but nominated by the president & confirmed by Congress	Nelson Rockefeller	1986-11-03
